symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,tech_trend,tech_momentum,tech_volume,tech_relative_strength,technical_score,tech_data_coverage
KPIL.NS,Kalpataru Projects International Limited,184570970112,1080.8,203598928.34762776,Industrials,Engineering & Construction,PASS,,22.5,47.5,40.0,100.0,45.12500000000001,1.0
PNGJL.NS,P N Gadgil Jewellers Limited,73336029184,540.35,161454333.16801757,Consumer Cyclical,Luxury Goods,PASS,,32.5,42.5,30.0,100.0,45.12500000000001,1.0
INDNIPPON.NS,India Nippon Electricals Limited,17079175168,755.0,56335436.73283488,Consumer Cyclical,Auto Parts,PASS,,25.0,60.0,16.666666666666668,100.0,45.08333333333334,1.0
WAAREERTL.NS,Waaree Renewable Technologies Limited,84087054336,805.85,210372531.2163615,Utilities,Utilities - Renewable,PASS,,35.0,32.5,40.0,100.0,45.00000000000001,1.0
EIEL.NS,Enviro Infra Engineers Limited,25860835328,147.33,321631213.51782227,Industrials,Engineering & Construction,PASS,,35.0,32.5,40.0,100.0,45.00000000000001,1.0
JUNIPER.NS,Juniper Hotels Limited,43770671104,196.72,66676255.270124815,Consumer Cyclical,Lodging,PASS,,20.0,50.0,40.0,100.0,45.00000000000001,1.0
YASHO.NS,Yasho Industries Limited,15832807424,1313.0,44084073.293204755,Basic Materials,Specialty Chemicals,PASS,,20.0,50.0,40.0,100.0,45.00000000000001,1.0
GIPCL.NS,Gujarat Industries Power Company Limited,20169252864,129.91,37433403.160420224,Utilities,Utilities - Regulated Electric,PASS,,20.0,50.0,40.0,100.0,45.00000000000001,1.0
MOTHERSON.NS,Samvardhana Motherson International Limited,1191913193472,112.93,2528241390.3967166,Consumer Cyclical,Auto Parts,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
NYKAA.NS,FSN E-Commerce Ventures Limited,680405762048,237.65,1899697786.8127158,Consumer Cyclical,Internet Retail,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
