symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin,technical_score,tech_data_coverage,tech_trend,tech_momentum,tech_volume,tech_relative_strength,composite_score_raw,l_category,sector_preference_mult,composite_score,composite_rank,fundamental_rank,technical_rank,data_quality
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited,16984004608,128.43,231053506.52048722,Energy,Oil & Gas E&P,PASS,,52.5,48.0,36.666666666666664,75.0,50.0,52.45833333333334,1.0,,15.9937725,5.622,0.059959996,39.66666666666667,1.0,18.333333333333332,47.5,40.0,73.33333333333333,49.90000000000001,L3,0.9,44.91000000000001,864,550,752,HIGH
SHRIRAMPPS.NS,Shriram Properties Limited,11673536512,68.22,43276250.34084905,Real Estate,Real Estate - Development,PASS,,27.5,85.0,43.33333333333333,30.0,50.0,47.79166666666667,1.0,,16.59854,50.86,-0.109560005,39.833333333333336,1.0,25.0,42.5,36.666666666666664,73.33333333333333,46.20000000000001,L2,0.97,44.81400000000001,865,753,744,HIGH
SUPRAJIT.NS,Suprajit Engineering Limited,55218245632,402.55,50100771.4163676,Consumer Cyclical,Auto Parts,PASS,,42.5,38.0,10.0,45.0,75.0,38.62500000000001,1.0,,39.856434,67.961,0.056799997,54.25000000000001,1.0,38.333333333333336,65.0,46.66666666666667,80.0,41.75000000000001,L2,1.07,44.672500000000014,866,949,246,HIGH
PETRONET.NS,Petronet LNG Limited,386475032576,257.65,1522776068.0233176,Energy,Oil & Gas Refining & Marketing,PASS,,47.5,30.0,50.0,80.0,70.0,52.375000000000014,1.0,,10.629126,11.871,0.10228,38.583333333333336,1.0,26.666666666666664,37.5,30.0,80.0,49.61666666666668,L3,0.9,44.655000000000015,867,553,813,HIGH
TATACOMM.NS,Tata Communications Limited,403788005376,1416.8,457593136.1990885,Communication Services,Telecom Services,PASS,,47.5,70.0,37.5,25.0,70.0,48.87500000000001,1.0,,26.178864,467.533,0.07704,34.50000000000001,1.0,21.666666666666664,37.5,23.333333333333336,73.33333333333333,46.000000000000014,L3,0.97,44.62000000000001,868,713,992,HIGH
RISHABH.NS,Rishabh Instruments Limited,14930751488,387.65,43269344.05854695,Technology,Scientific & Technical Instruments,PASS,,42.5,44.0,42.5,65.0,50.0,48.12500000000001,1.0,,21.500277,14.997,0.11785,47.16666666666667,1.0,46.66666666666667,45.0,16.666666666666668,93.33333333333334,47.933333333333344,L2,0.93,44.57800000000001,869,742,431,HIGH
ANTELOPUS.NS,Antelopus Selan Energy Limited,18133254144,515.45,228238667.42023417,Energy,Oil & Gas E&P,PASS,,31.666666666666664,90.0,46.66666666666667,33.333333333333336,50.0,51.41666666666668,1.0,-0.012619999,10.988063,,0.5123,41.62500000000001,1.0,22.5,42.5,40.0,86.66666666666666,49.45833333333335,L3,0.9,44.51250000000002,870,594,660,HIGH
MEESHO.NS,Meesho Limited,652598771712,144.6,742148925.5883372,Consumer Cyclical,Internet Retail,PASS,,2.5,66.66666666666667,50.0,40.0,50.0,40.29166666666667,1.0,,,8.629,-0.15630001,46.708333333333336,1.0,42.5,45.0,36.666666666666664,73.33333333333333,41.57500000000001,L2,1.07,44.485250000000015,871,917,448,HIGH
AFCONS.NS,Afcons Infrastructure Limited,102519971840,278.75,143620783.01901856,Industrials,Engineering & Construction,PASS,,37.5,30.0,43.33333333333333,35.0,75.0,40.04166666666667,1.0,,22.773693,66.143,0.10649,41.91666666666667,1.0,31.666666666666664,35.0,46.66666666666667,73.33333333333333,40.41666666666667,L2,1.1,44.45833333333334,872,921,640,HIGH
SWELECTES.NS,Swelect Energy Systems Limited,8604744704,553.85,15667288.151194254,Technology,Solar,PASS,,47.5,52.5,56.66666666666667,20.0,60.0,46.33333333333334,1.0,,15.198957,72.499,0.15695,53.66666666666667,1.0,36.666666666666664,55.0,66.66666666666667,73.33333333333333,47.80000000000001,L2,0.93,44.454000000000015,873,786,257,HIGH
