symbol,name,sector,cmp,intrinsicValue,dcfPerShare,weightedDcfPerShare,relativeValue,upside,marginOfSafety,mosZone,verdict,wacc,costOfEquity,beta,dcfBear,dcfBull
GESHIP,The Great Eastern Shipping Company Limited,Industrials,1459.9,1647.95,2002.31,1988.05,1307.86,12.9,11.4,Hold,Undervalued,11.2,11.2,0.7,1484.16,2463.41
NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,238.15,267.26,297.27,297.03,237.49,12.2,10.9,Hold,Undervalued,9.9,10.0,0.5,126.5,467.07
WELCORP,Welspun Corp Limited,Basic Materials,800.2,894.8,1094.97,1105.46,684.14,11.8,10.6,Hold,Undervalued,10.1,10.0,0.5,483.35,1748.54
BHARTIARTL,Bharti Airtel Limited,Communication Services,1803.4,2014.65,2435.01,2419.49,1609.82,11.7,10.5,Hold,Undervalued,9.5,10.0,0.5,1459.75,3348.2
SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,486.05,537.26,655.59,657.11,417.41,10.5,9.5,Hold,Undervalued,10.0,10.0,0.5,354.07,963.2
AADHARHFC,AADHAR HOUSING FINANCE L,Financial Services,459.75,507.43,668.72,662.56,352.31,10.4,9.4,Hold,Undervalued,9.2,13.0,1.0,314.95,997.85
NATCOPHARM,NATCO Pharma Limited,Healthcare,955.85,1048.47,1326.31,1340.0,756.95,9.7,8.8,Hold,Fairly Valued,9.9,10.0,0.5,744.89,1962.48
HDFCBANK,HDFC Bank Limited,Financial Services,817.0,893.31,1112.58,1105.36,681.26,9.3,8.5,Hold,Fairly Valued,10.4,10.0,0.5,569.38,1626.91
WOCKPHARMA,Wockhardt Limited,Healthcare,1211.3,1319.8,1527.97,1515.19,1124.4,9.0,8.2,Hold,Fairly Valued,10.7,11.1,0.68,885.76,2119.06
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,5206.0,5660.9,6824.2,6807.82,4513.97,8.7,8.0,Hold,Fairly Valued,10.5,10.6,0.59,3963.43,9619.47
BSOFT,Birlasoft Limited,Technology,360.15,387.69,441.5,436.58,338.8,7.6,7.1,Hold,Fairly Valued,10.0,10.0,0.5,327.0,536.33
JYOTICNC,Jyoti CNC Automation Limited,Industrials,715.95,770.41,1088.06,1085.55,455.27,7.6,7.1,Hold,Fairly Valued,9.7,10.0,0.5,632.03,1534.07
LODHA,Lodha Developers Limited,Real Estate,866.35,927.87,1140.6,1132.15,723.59,7.1,6.6,Hold,Fairly Valued,9.5,10.0,0.5,726.82,1520.57
AMBER,Amber Enterprises India Limited,Consumer Cyclical,6446.0,6868.74,7107.23,8184.53,5552.96,6.6,6.2,Hold,Fairly Valued,9.4,10.0,0.5,4367.81,14155.86
ENRIN,Siemens Energy India Limited,Utilities,2796.9,2978.32,3496.2,3455.68,2500.96,6.5,6.1,Hold,Fairly Valued,13.0,13.0,1.0,2158.96,4671.34
MPHASIS,Mphasis Limited,Technology,2114.8,2246.17,2693.61,2674.87,1817.47,6.2,5.8,Hold,Fairly Valued,9.7,10.0,0.5,1686.47,3625.78
GLAND,Gland Pharma Limited,Healthcare,1626.6,1725.8,2028.77,2021.18,1430.42,6.1,5.7,Hold,Fairly Valued,10.0,10.0,0.5,1278.01,2749.18
ANANTRAJ,Anant Raj Limited,Real Estate,450.0,476.08,578.25,574.61,377.55,5.8,5.5,Hold,Fairly Valued,9.8,10.0,0.5,361.47,780.46
TATACOMM,Tata Communications Limited,Communication Services,1398.1,1465.55,1720.26,1715.12,1215.98,4.8,4.6,Hold,Fairly Valued,8.5,10.0,0.5,873.62,2546.32
DLF,DLF Limited,Real Estate,542.75,567.04,685.99,680.93,453.16,4.5,4.3,Hold,Fairly Valued,10.0,10.0,0.5,386.72,965.03
TECHNOE,Techno Electric & Engineering Company Limited,Industrials,1086.6,1135.64,1567.33,1322.83,948.45,4.5,4.3,Hold,Fairly Valued,11.0,11.0,0.67,869.18,1287.47
NEWGEN,Newgen Software Technologies Limited,Technology,441.9,461.5,536.29,530.88,392.12,4.4,4.2,Hold,Fairly Valued,10.0,10.0,0.5,403.09,647.83
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,6674.0,6955.45,8275.08,8430.16,5480.74,4.2,4.0,Hold,Fairly Valued,9.1,10.0,0.5,2953.61,14216.86
PERSISTENT,Persistent Systems Limited,Technology,4638.8,4825.87,5702.11,5679.27,3972.47,4.0,3.9,Hold,Fairly Valued,10.0,10.0,0.5,3385.38,7927.48
BATAINDIA,Bata India Limited,Consumer Cyclical,699.4,727.4,741.77,731.35,723.46,4.0,3.8,Hold,Fairly Valued,9.6,10.0,0.5,502.08,939.79
DCMSHRIRAM,DCM Shriram Limited,Industrials,1018.2,1057.38,1212.56,1212.22,902.55,3.8,3.7,Hold,Fairly Valued,9.4,10.0,0.5,579.61,1844.16
ZENTEC,Zen Technologies Limited,Industrials,1364.7,1413.39,1691.0,1676.47,1150.32,3.6,3.4,Hold,Fairly Valued,10.0,10.0,0.5,1170.16,2153.72
BLUEDART,Blue Dart Express Limited,Industrials,5219.5,5392.97,5934.04,5866.16,4919.78,3.3,3.2,Hold,Fairly Valued,9.7,10.0,0.5,3680.35,7916.23
CHALET,Chalet Hotels Limited,Consumer Cyclical,733.4,756.56,916.36,902.97,610.15,3.2,3.1,Hold,Fairly Valued,9.3,10.0,0.5,534.89,1244.26
SUNTV,Sun TV Network Limited,Communication Services,562.8,580.82,648.84,643.17,518.47,3.2,3.1,Hold,Fairly Valued,10.0,10.0,0.5,519.36,755.64
EMAMILTD,Emami Limited,Consumer Defensive,416.05,428.64,478.42,473.44,383.85,3.0,2.9,Hold,Fairly Valued,10.0,10.0,0.5,338.55,598.37
GODFRYPHLP,Godfrey Phillips India Limited,Consumer Defensive,2016.6,2070.37,2434.28,2413.88,1726.86,2.7,2.6,Hold,Fairly Valued,10.0,10.0,0.5,1593.25,3193.69
IKS,INVENTURUS KNOWLEDGE SO L,Healthcare,1327.3,1362.18,1602.8,1584.89,1139.48,2.6,2.6,Hold,Fairly Valued,12.9,13.0,1.0,1043.1,2090.85
TRITURBINE,Triveni Turbine Limited,Industrials,459.45,471.79,550.9,548.34,395.23,2.7,2.6,Hold,Fairly Valued,10.0,10.0,0.5,341.32,750.24
AARTIIND,Aarti Industries Limited,Basic Materials,420.75,431.42,517.34,511.46,351.39,2.5,2.5,Hold,Fairly Valued,8.9,10.0,0.5,187.63,823.54
HONASA,Honasa Consumer Limited,Consumer Defensive,268.95,275.64,288.17,285.58,265.71,2.5,2.4,Hold,Fairly Valued,10.1,10.2,0.53,162.04,403.95
TECHM,Tech Mahindra Limited,Technology,1332.8,1352.58,1532.74,1517.35,1187.81,1.5,1.5,Hold,Fairly Valued,10.0,10.0,0.5,991.17,2012.73
ITC,ITC Limited,Consumer Defensive,301.45,305.11,308.27,305.0,305.22,1.2,1.2,Hold,Fairly Valued,10.0,10.0,0.5,224.3,379.18
ZENSARTECH,Zensar Technologies Limited,Technology,552.85,558.76,634.42,628.78,488.75,1.1,1.1,Hold,Fairly Valued,10.0,10.0,0.5,431.76,814.51
OLECTRA,Olectra Greentech Limited,Industrials,880.45,887.96,1020.03,1023.68,752.25,0.9,0.8,Hold,Fairly Valued,10.0,10.0,0.5,495.39,1559.28
BEL,Bharat Electronics Limited,Industrials,439.4,442.45,513.95,510.53,374.37,0.7,0.7,Hold,Fairly Valued,10.0,10.0,0.5,325.63,688.57
NAVA,Nava Limited,Industrials,551.7,555.35,614.66,605.45,505.25,0.7,0.7,Hold,Fairly Valued,9.4,10.0,0.5,428.63,763.85
PATANJALI,Patanjali Foods Limited,Consumer Defensive,481.6,484.26,567.74,567.41,401.12,0.6,0.5,Hold,Fairly Valued,9.7,10.0,0.5,209.17,924.99
IRCTC,Indian Railway Catering & Tourism Corporation Limited,Consumer Cyclical,527.6,523.17,597.7,593.13,453.22,-0.8,-0.8,Sell,Fairly Valued,10.0,10.0,0.5,401.77,775.34
INDGN,INDEGENE LIMITED,Healthcare,429.25,423.38,485.48,484.29,362.48,-1.4,-1.4,Sell,Fairly Valued,13.0,13.0,1.0,281.66,684.55
CYIENT,Cyient Limited,Industrials,870.1,856.96,920.32,906.05,807.88,-1.5,-1.5,Sell,Fairly Valued,10.1,10.0,0.5,662.1,1121.48
ESCORTS,Escorts Kubota Limited,Industrials,3120.6,3073.36,2855.64,2835.28,3311.43,-1.5,-1.5,Sell,Fairly Valued,10.0,10.0,0.5,1925.87,3703.97
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,634.9,625.65,745.2,738.25,513.05,-1.5,-1.5,Sell,Fairly Valued,9.3,10.0,0.5,364.82,1097.77
INOXINDIA,INOX India Limited,Industrials,1136.5,1118.57,1280.57,1275.73,961.41,-1.6,-1.6,Sell,Fairly Valued,10.5,10.6,0.6,746.66,1795.13
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,113.82,111.65,124.49,123.37,99.92,-1.9,-1.9,Sell,Fairly Valued,11.4,12.3,0.88,53.57,190.92
LAURUSLABS,Laurus Labs Limited,Healthcare,1003.4,981.69,1105.74,1099.64,863.74,-2.2,-2.2,Sell,Fairly Valued,9.9,10.0,0.5,648.65,1538.44
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,Energy,192.81,188.37,195.77,192.64,184.1,-2.3,-2.4,Sell,Fairly Valued,12.4,13.0,1.0,130.29,248.72
KFINTECH,KFin Technologies Limited,Technology,892.55,868.02,971.78,965.34,770.7,-2.7,-2.8,Sell,Fairly Valued,10.0,10.0,0.5,620.13,1297.66
SONATSOFTW,Sonata Software Limited,Technology,235.75,228.59,262.43,261.61,195.56,-3.0,-3.1,Sell,Fairly Valued,9.6,10.0,0.5,80.92,440.67
EMCURE,EMCURE PHARMACEUTICALS L,Healthcare,1438.0,1391.57,1579.56,1562.92,1220.22,-3.2,-3.3,Sell,Fairly Valued,12.6,13.0,1.0,956.37,2136.19
RRKABEL,R R Kabel Limited,Industrials,1343.1,1300.05,1299.71,1453.56,1146.53,-3.2,-3.3,Sell,Fairly Valued,15.0,15.1,1.34,830.34,2384.49
UPL,UPL Limited,Basic Materials,609.4,589.71,619.93,617.9,561.52,-3.2,-3.3,Sell,Fairly Valued,9.3,10.0,0.5,190.81,1040.95
LATENTVIEW,Latent View Analytics Limited,Industrials,280.25,271.0,306.14,304.82,237.19,-3.3,-3.4,Sell,Fairly Valued,10.0,10.0,0.5,193.35,413.64
SAPPHIRE,Sapphire Foods India Limited,Consumer Cyclical,162.54,157.22,148.38,146.63,167.82,-3.3,-3.4,Sell,Fairly Valued,9.2,10.0,0.5,71.3,218.45
VMM,VISHAL MEGA MART LIMITED,Consumer Cyclical,102.79,99.22,100.13,98.85,99.59,-3.5,-3.6,Sell,Fairly Valued,12.7,13.0,1.0,61.43,133.71
AUBANK,AU Small Finance Bank Limited,Financial Services,884.35,851.31,958.87,954.14,748.47,-3.7,-3.9,Sell,Fairly Valued,10.2,10.0,0.5,558.22,1340.62
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,823.65,791.89,882.37,875.7,708.08,-3.9,-4.0,Sell,Fairly Valued,10.0,10.0,0.5,558.95,1179.1
PFIZER,Pfizer Limited,Healthcare,4623.0,4438.64,4903.05,4869.65,4007.63,-4.0,-4.2,Sell,Fairly Valued,10.0,10.0,0.5,3356.61,6315.9
FORCEMOT,Force Motors Limited,Consumer Cyclical,20245.0,19411.17,21492.01,21311.16,17511.19,-4.1,-4.3,Sell,Fairly Valued,10.0,10.0,0.5,13441.74,28818.89
MANAPPURAM,Manappuram Finance Limited,Financial Services,256.1,244.31,320.3,315.92,172.7,-4.6,-4.8,Sell,Fairly Valued,8.2,10.5,0.58,139.12,483.95
CAMPUS,Campus Activewear Limited,Consumer Cyclical,237.1,226.0,231.73,229.55,222.44,-4.7,-4.9,Sell,Fairly Valued,9.7,10.0,0.5,140.85,313.88
MANYAVAR,Vedant Fashions Limited,Consumer Cyclical,342.4,326.14,334.68,330.79,321.49,-4.7,-5.0,Sell,Fairly Valued,9.9,10.0,0.5,274.73,379.08
RHIM,RHI Magnesita India Limited,Industrials,375.5,357.25,383.68,379.39,335.1,-4.9,-5.1,Sell,Fairly Valued,9.9,10.0,0.5,225.75,524.47
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,1296.5,1232.26,1374.59,1364.17,1100.35,-5.0,-5.2,Sell,Fairly Valued,9.5,10.0,0.5,869.36,1838.16
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,932.8,886.03,983.96,974.35,797.7,-5.0,-5.3,Sell,Fairly Valued,10.0,10.0,0.5,679.86,1249.61
WIPRO,Wipro Limited,Technology,197.58,187.55,205.64,204.1,170.99,-5.1,-5.3,Sell,Fairly Valued,9.5,10.0,0.5,143.13,261.98
LTIM,LTIMindtree Ltd,Technology,4504.0,4258.34,4620.1,4581.01,3935.67,-5.5,-5.8,Sell,Fairly Valued,10.0,10.0,0.5,3050.43,6033.41
KARURVYSYA,The Karur Vysya Bank Limited,Financial Services,282.1,266.27,290.88,289.11,243.43,-5.6,-5.9,Sell,Fairly Valued,10.1,10.0,0.5,200.64,374.03
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,1363.2,1284.91,1487.45,1481.38,1088.45,-5.7,-6.1,Sell,Fairly Valued,9.0,10.0,0.5,868.6,2082.01
TCS,Tata Consultancy Services Limited,Technology,2410.5,2271.63,2495.05,2468.32,2074.94,-5.8,-6.1,Sell,Fairly Valued,9.9,10.0,0.5,1792.86,3090.31
CRISIL,CRISIL Limited,Financial Services,4164.1,3922.48,4289.69,4253.61,3591.36,-5.8,-6.2,Sell,Fairly Valued,10.0,10.0,0.5,2821.6,5613.47
SCHAEFFLER,Schaeffler India Limited,Consumer Cyclical,3830.6,3605.86,3954.19,3947.28,3264.45,-5.9,-6.2,Sell,Fairly Valued,10.0,10.0,0.5,2236.55,5644.21
LTTS,L&T Technology Services Limited,Technology,3430.1,3211.62,3410.84,3378.59,3044.66,-6.4,-6.8,Sell,Fairly Valued,9.9,10.0,0.5,2206.52,4486.17
CASTROLIND,Castrol India Limited,Energy,186.22,173.81,185.77,183.78,163.84,-6.7,-7.1,Sell,Fairly Valued,10.0,10.0,0.5,131.99,231.6
KEI,KEI Industries Limited,Industrials,4158.0,3878.12,4172.75,4157.39,3598.84,-6.7,-7.2,Sell,Fairly Valued,10.0,10.0,0.5,2249.96,6034.11
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,2381.0,2212.64,2411.77,2388.05,2037.22,-7.1,-7.6,Sell,Fairly Valued,10.0,10.0,0.5,1645.35,3083.31
MARICO,Marico Limited,Consumer Defensive,752.4,698.91,761.68,759.25,638.58,-7.1,-7.7,Sell,Fairly Valued,10.0,10.0,0.5,430.54,1083.12
IEX,Indian Energy Exchange Limited,Financial Services,120.25,111.42,119.72,118.65,104.18,-7.3,-7.9,Sell,Fairly Valued,10.0,10.0,0.5,89.37,145.78
SIGNATURE,Signatureglobal (India) Limited,Real Estate,803.7,743.44,0.0,0.0,743.44,-7.5,-8.1,Sell,Fairly Valued,8.8,10.0,0.5,0.0,0.0
OFSS,Oracle Financial Services Software Limited,Technology,6526.0,6018.84,6531.91,6475.99,5561.68,-7.8,-8.4,Sell,Fairly Valued,10.0,10.0,0.5,4596.6,8243.55
THELEELA,Leela Palaces Hotels & Resorts Limited,Consumer Cyclical,432.2,396.32,434.53,429.18,363.46,-8.3,-9.1,Sell,Fairly Valued,12.8,13.0,1.0,286.08,561.59
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,3039.3,2780.72,2980.64,2954.91,2606.52,-8.5,-9.3,Sell,Fairly Valued,10.0,10.0,0.5,1948.45,3909.93
GRANULES,Granules India Limited,Healthcare,562.2,513.24,551.89,553.29,473.18,-8.7,-9.5,Sell,Fairly Valued,9.3,10.0,0.5,273.62,835.77
TIINDIA,Tube Investments of India Limited,Industrials,2458.2,2234.22,2274.82,2282.42,2186.02,-9.1,-10.0,Sell,Fairly Valued,9.6,10.0,0.5,965.81,3614.22
ACC,ACC Limited,Basic Materials,1376.4,1249.1,1378.52,1369.68,1128.51,-9.2,-10.2,Sell,Fairly Valued,10.0,10.0,0.5,671.23,2050.44
AWL,AWL Agri Business Limited,Consumer Defensive,172.89,156.41,142.41,157.58,155.24,-9.5,-10.5,Sell,Fairly Valued,10.1,10.0,0.5,0.0,345.52
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,6741.0,6099.47,6377.92,6334.63,5864.31,-9.5,-10.5,Sell,Fairly Valued,10.0,10.0,0.5,3953.51,8629.17
COALINDIA,Coal India Limited,Energy,467.0,421.89,454.63,449.27,394.52,-9.7,-10.7,Sell,Fairly Valued,9.7,10.0,0.5,354.16,533.64
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,12591.0,11377.34,12002.47,12145.53,10609.15,-9.6,-10.7,Sell,Fairly Valued,10.0,10.0,0.5,4987.38,19589.8
SAILIFE,SAI LIFE SCIENCES LIMITED,Healthcare,953.05,861.25,876.18,866.86,855.63,-9.6,-10.7,Sell,Fairly Valued,13.0,13.0,1.0,550.12,1164.95
COCHINSHIP,Cochin Shipyard Limited,Industrials,1385.5,1248.82,1387.37,1378.86,1118.79,-9.9,-10.9,Sell,Fairly Valued,9.8,10.0,0.5,858.92,1881.77
RADICO,Radico Khaitan Limited,Consumer Defensive,2800.1,2525.86,2630.96,2610.68,2441.03,-9.8,-10.9,Sell,Fairly Valued,10.0,10.0,0.5,1556.09,3624.72
MINDACORP,Minda Corporation Limited,Consumer Cyclical,480.85,433.28,444.24,449.95,416.61,-9.9,-11.0,Sell,Fairly Valued,9.3,10.0,0.5,148.51,762.81
RAILTEL,RailTel Corporation of India Limited,Communication Services,278.0,250.15,265.58,265.3,235.0,-10.0,-11.1,Sell,Fairly Valued,10.0,10.0,0.5,139.62,390.44
ONGC,Oil and Natural Gas Corporation Limited,Energy,264.1,237.5,255.1,256.12,218.88,-10.1,-11.2,Sell,Overvalued,8.3,10.0,0.5,51.39,462.87
TRENT,Trent Limited,Consumer Cyclical,3487.8,3130.85,3036.78,3003.14,3258.56,-10.2,-11.4,Sell,Overvalued,9.9,10.0,0.5,1882.36,4056.64
PAYTM,One97 Communications Limited,Technology,976.2,875.75,851.96,847.58,903.93,-10.3,-11.5,Sell,Overvalued,10.0,10.0,0.5,521.75,1164.66
MSUMI,Motherson Sumi Wiring India Limited,Consumer Cyclical,39.08,34.96,37.92,38.24,31.68,-10.5,-11.8,Sell,Overvalued,10.0,10.0,0.5,15.23,61.89
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,2328.0,2078.5,1926.91,1907.78,2249.22,-10.7,-12.0,Sell,Overvalued,10.0,10.0,0.5,1366.35,2410.93
OLAELEC,OLA ELECTRIC MOBILITY LTD,Consumer Cyclical,23.07,20.59,0.0,0.0,20.59,-10.7,-12.0,Sell,Overvalued,12.0,13.0,1.0,0.0,0.0
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,905.9,808.39,873.68,881.79,734.99,-10.8,-12.1,Sell,Overvalued,9.4,10.0,0.5,424.82,1354.98
PETRONET,Petronet LNG Limited,Energy,286.3,254.91,256.78,252.3,257.52,-11.0,-12.3,Sell,Overvalued,9.9,10.0,0.5,183.15,312.49
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare,930.8,826.57,846.04,838.39,814.75,-11.2,-12.6,Sell,Overvalued,9.8,10.0,0.5,547.35,1114.14
SCHNEIDER,Schneider Electric Infrastructure Limited,Industrials,885.7,784.18,785.49,779.22,789.15,-11.5,-12.9,Sell,Overvalued,9.9,10.0,0.5,459.14,1086.74
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,1662.2,1466.58,1513.02,1498.49,1434.66,-11.8,-13.3,Sell,Overvalued,10.0,10.0,0.5,1088.89,1879.01
ELGIEQUIP,Elgi Equipments Limited,Industrials,469.5,413.92,427.12,425.16,402.68,-11.8,-13.4,Sell,Overvalued,9.8,10.0,0.5,242.17,604.23
GILLETTE,Gillette India Limited,Consumer Defensive,7979.5,7015.96,6900.37,6832.49,7199.43,-12.1,-13.7,Sell,Overvalued,10.0,10.0,0.5,4670.56,8858.67
NATIONALUM,National Aluminium Company Limited,Basic Materials,387.35,339.68,347.94,343.73,335.63,-12.3,-14.0,Sell,Overvalued,12.2,12.2,0.88,283.79,395.26
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,1801.6,1576.14,1588.2,1573.07,1579.21,-12.5,-14.3,Sell,Overvalued,9.9,10.0,0.5,1099.21,2016.67
KAYNES,Kaynes Technology India Limited,Technology,3475.6,3039.0,3258.73,3218.53,2859.47,-12.6,-14.4,Sell,Overvalued,9.9,10.0,0.5,1802.5,4554.16
AFFLE,Affle 3i Limited,Communication Services,1338.1,1168.11,1154.38,1145.27,1190.95,-12.7,-14.6,Sell,Overvalued,10.0,10.0,0.5,740.34,1531.99
SOLARINDS,Solar Industries India Limited,Basic Materials,14251.0,12432.14,10908.08,12529.3,12334.98,-12.8,-14.6,Sell,Overvalued,10.0,10.0,0.5,13264.16,15036.87
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,1675.1,1460.61,1508.74,1507.13,1414.09,-12.8,-14.7,Sell,Overvalued,9.6,10.0,0.5,770.63,2240.43
